rule_id,band_index,band_low_hz,band_high_hz,normalized_weight,gain_db_default,gain_db_max,action_family,target_direction,group_value,f0_condition
stage0_singing_slow_forte_high_band_feminine_brightness_up_v1,1,0,300,0.0000,0.0000,0.0000,brightness_up,feminine,slow_forte,high_band
stage0_singing_slow_forte_high_band_feminine_brightness_up_v1,2,300,800,0.0000,0.0000,0.0000,brightness_up,feminine,slow_forte,high_band
stage0_singing_slow_forte_high_band_feminine_brightness_up_v1,3,800,1500,0.3500,0.1050,0.1470,brightness_up,feminine,slow_forte,high_band
stage0_singing_slow_forte_high_band_feminine_brightness_up_v1,4,1500,3000,0.8000,0.2400,0.3360,brightness_up,feminine,slow_forte,high_band
stage0_singing_slow_forte_high_band_feminine_brightness_up_v1,5,3000,5000,1.0000,0.3000,0.4200,brightness_up,feminine,slow_forte,high_band
stage0_singing_slow_forte_high_band_feminine_brightness_up_v1,6,5000,8000,0.5500,0.1650,0.2310,brightness_up,feminine,slow_forte,high_band
stage0_singing_straight_high_band_feminine_brightness_up_v1,1,0,300,0.0000,0.0000,0.0000,brightness_up,feminine,straight,high_band
stage0_singing_straight_high_band_feminine_brightness_up_v1,2,300,800,0.0000,0.0000,0.0000,brightness_up,feminine,straight,high_band
stage0_singing_straight_high_band_feminine_brightness_up_v1,3,800,1500,0.3500,0.1050,0.1470,brightness_up,feminine,straight,high_band
stage0_singing_straight_high_band_feminine_brightness_up_v1,4,1500,3000,0.8000,0.2400,0.3360,brightness_up,feminine,straight,high_band
stage0_singing_straight_high_band_feminine_brightness_up_v1,5,3000,5000,1.0000,0.3000,0.4200,brightness_up,feminine,straight,high_band
stage0_singing_straight_high_band_feminine_brightness_up_v1,6,5000,8000,0.5500,0.1650,0.2310,brightness_up,feminine,straight,high_band
stage0_singing_vibrato_high_band_feminine_brightness_up_v1,1,0,300,0.0000,0.0000,0.0000,brightness_up,feminine,vibrato,high_band
stage0_singing_vibrato_high_band_feminine_brightness_up_v1,2,300,800,0.0000,0.0000,0.0000,brightness_up,feminine,vibrato,high_band
stage0_singing_vibrato_high_band_feminine_brightness_up_v1,3,800,1500,0.3500,0.1050,0.1470,brightness_up,feminine,vibrato,high_band
stage0_singing_vibrato_high_band_feminine_brightness_up_v1,4,1500,3000,0.8000,0.2400,0.3360,brightness_up,feminine,vibrato,high_band
stage0_singing_vibrato_high_band_feminine_brightness_up_v1,5,3000,5000,1.0000,0.3000,0.4200,brightness_up,feminine,vibrato,high_band
stage0_singing_vibrato_high_band_feminine_brightness_up_v1,6,5000,8000,0.5500,0.1650,0.2310,brightness_up,feminine,vibrato,high_band
stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,1,0,300,0.0000,0.0000,0.0000,brightness_up,feminine,fast_forte,high_band
stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,2,300,800,0.0000,0.0000,0.0000,brightness_up,feminine,fast_forte,high_band
stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,3,800,1500,0.3500,0.0840,0.1190,brightness_up,feminine,fast_forte,high_band
stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,4,1500,3000,0.8000,0.1920,0.2720,brightness_up,feminine,fast_forte,high_band
stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,5,3000,5000,1.0000,0.2400,0.3400,brightness_up,feminine,fast_forte,high_band
stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,6,5000,8000,0.5500,0.1320,0.1870,brightness_up,feminine,fast_forte,high_band
stage0_singing_straight_low_band_masculine_brightness_down_v1,1,0,300,-0.4000,-0.0720,-0.1120,brightness_down,masculine,straight,low_band
stage0_singing_straight_low_band_masculine_brightness_down_v1,2,300,800,-0.7000,-0.1260,-0.1960,brightness_down,masculine,straight,low_band
stage0_singing_straight_low_band_masculine_brightness_down_v1,3,800,1500,-1.0000,-0.1800,-0.2800,brightness_down,masculine,straight,low_band
stage0_singing_straight_low_band_masculine_brightness_down_v1,4,1500,3000,-0.4500,-0.0810,-0.1260,brightness_down,masculine,straight,low_band
stage0_singing_straight_low_band_masculine_brightness_down_v1,5,3000,5000,-0.1000,-0.0180,-0.0280,brightness_down,masculine,straight,low_band
stage0_singing_straight_low_band_masculine_brightness_down_v1,6,5000,8000,0.0000,0.0000,0.0000,brightness_down,masculine,straight,low_band
stage0_singing_vibrato_low_band_masculine_brightness_down_v1,1,0,300,-0.4000,-0.0720,-0.1120,brightness_down,masculine,vibrato,low_band
stage0_singing_vibrato_low_band_masculine_brightness_down_v1,2,300,800,-0.7000,-0.1260,-0.1960,brightness_down,masculine,vibrato,low_band
stage0_singing_vibrato_low_band_masculine_brightness_down_v1,3,800,1500,-1.0000,-0.1800,-0.2800,brightness_down,masculine,vibrato,low_band
stage0_singing_vibrato_low_band_masculine_brightness_down_v1,4,1500,3000,-0.4500,-0.0810,-0.1260,brightness_down,masculine,vibrato,low_band
stage0_singing_vibrato_low_band_masculine_brightness_down_v1,5,3000,5000,-0.1000,-0.0180,-0.0280,brightness_down,masculine,vibrato,low_band
stage0_singing_vibrato_low_band_masculine_brightness_down_v1,6,5000,8000,0.0000,0.0000,0.0000,brightness_down,masculine,vibrato,low_band
stage0_singing_fast_piano_high_band_feminine_brightness_up_v1,1,0,300,0.0000,0.0000,0.0000,brightness_up,feminine,fast_piano,high_band
stage0_singing_fast_piano_high_band_feminine_brightness_up_v1,2,300,800,0.0000,0.0000,0.0000,brightness_up,feminine,fast_piano,high_band
stage0_singing_fast_piano_high_band_feminine_brightness_up_v1,3,800,1500,0.3500,0.0630,0.0980,brightness_up,feminine,fast_piano,high_band
stage0_singing_fast_piano_high_band_feminine_brightness_up_v1,4,1500,3000,0.8000,0.1440,0.2240,brightness_up,feminine,fast_piano,high_band
stage0_singing_fast_piano_high_band_feminine_brightness_up_v1,5,3000,5000,1.0000,0.1800,0.2800,brightness_up,feminine,fast_piano,high_band
stage0_singing_fast_piano_high_band_feminine_brightness_up_v1,6,5000,8000,0.5500,0.0990,0.1540,brightness_up,feminine,fast_piano,high_band
stage0_singing_slow_piano_high_band_feminine_brightness_up_v1,1,0,300,0.0000,0.0000,0.0000,brightness_up,feminine,slow_piano,high_band
stage0_singing_slow_piano_high_band_feminine_brightness_up_v1,2,300,800,0.0000,0.0000,0.0000,brightness_up,feminine,slow_piano,high_band
stage0_singing_slow_piano_high_band_feminine_brightness_up_v1,3,800,1500,0.3500,0.0630,0.0980,brightness_up,feminine,slow_piano,high_band
stage0_singing_slow_piano_high_band_feminine_brightness_up_v1,4,1500,3000,0.8000,0.1440,0.2240,brightness_up,feminine,slow_piano,high_band
stage0_singing_slow_piano_high_band_feminine_brightness_up_v1,5,3000,5000,1.0000,0.1800,0.2800,brightness_up,feminine,slow_piano,high_band
stage0_singing_slow_piano_high_band_feminine_brightness_up_v1,6,5000,8000,0.5500,0.0990,0.1540,brightness_up,feminine,slow_piano,high_band
stage0_singing_slow_forte_low_band_masculine_brightness_down_v1,1,0,300,-0.4000,-0.0480,-0.0720,brightness_down,masculine,slow_forte,low_band
stage0_singing_slow_forte_low_band_masculine_brightness_down_v1,2,300,800,-0.7000,-0.0840,-0.1260,brightness_down,masculine,slow_forte,low_band
stage0_singing_slow_forte_low_band_masculine_brightness_down_v1,3,800,1500,-1.0000,-0.1200,-0.1800,brightness_down,masculine,slow_forte,low_band
stage0_singing_slow_forte_low_band_masculine_brightness_down_v1,4,1500,3000,-0.4500,-0.0540,-0.0810,brightness_down,masculine,slow_forte,low_band
stage0_singing_slow_forte_low_band_masculine_brightness_down_v1,5,3000,5000,-0.1000,-0.0120,-0.0180,brightness_down,masculine,slow_forte,low_band
stage0_singing_slow_forte_low_band_masculine_brightness_down_v1,6,5000,8000,0.0000,0.0000,0.0000,brightness_down,masculine,slow_forte,low_band
stage0_singing_slow_piano_low_band_masculine_brightness_down_v1,1,0,300,-0.4000,-0.0480,-0.0720,brightness_down,masculine,slow_piano,low_band
stage0_singing_slow_piano_low_band_masculine_brightness_down_v1,2,300,800,-0.7000,-0.0840,-0.1260,brightness_down,masculine,slow_piano,low_band
stage0_singing_slow_piano_low_band_masculine_brightness_down_v1,3,800,1500,-1.0000,-0.1200,-0.1800,brightness_down,masculine,slow_piano,low_band
stage0_singing_slow_piano_low_band_masculine_brightness_down_v1,4,1500,3000,-0.4500,-0.0540,-0.0810,brightness_down,masculine,slow_piano,low_band
stage0_singing_slow_piano_low_band_masculine_brightness_down_v1,5,3000,5000,-0.1000,-0.0120,-0.0180,brightness_down,masculine,slow_piano,low_band
stage0_singing_slow_piano_low_band_masculine_brightness_down_v1,6,5000,8000,0.0000,0.0000,0.0000,brightness_down,masculine,slow_piano,low_band
